companycode,inn,ogrn,kpp,name,address,hr-agency,url,site,phone,fax,email,code_industry_branch
64a34410-cbd7-11ea-a1f1-037acc02728d,5404348988,1085404001077,540401001,"""Акари кар""","Новосибирская область, г. Новосибирск, Ленинградская улица, 111, 82.957162, 55.014752",,https://trudvsem.ru/company/64a34410-cbd7-11ea-a1f1-037acc02728d,,,,,
ecd52f10-e433-11e9-badb-736ab11edb0c,5407502148,1145476148432,540601001,"ООО ""Лоренс""","Новосибирская область, г. Новосибирск, Военная улица, 4, 82.935162, 55.031159",,https://trudvsem.ru/company/ecd52f10-e433-11e9-badb-736ab11edb0c,,+7(913)7335269,,ok.lorens@bk.ru,
1309c050-4c7c-11e5-90a7-9370902ea73e,5408163787,1025403657069,540801001,"МКУ ""ДЭУ Советского района""","Новосибирская область, г. Новосибирск, Строителей проспект, 27, 83.098152, 54.85944",,https://trudvsem.ru/company/1309c050-4c7c-11e5-90a7-9370902ea73e,,,,,
1145476160939,5407189140,1145476160939,541001001,"ООО ТД ""ЗЭМИ""","Новосибирская область, 630027, г Новосибирск, ул Объединения, д. 59, 82.976251, 55.099428",,https://trudvsem.ru/company/1145476160939,http://tdzemi.ru,+7(383)2726445,,info@tdzemi.ru,
1035401944291,5405262331,1035401944291,540501001,"ОАО ""ЗАВОД ЭЛЕКТРОСИГНАЛ""","Новосибирская область, 630009, г Новосибирск, ул Добролюбова, д. 31, 82.945924, 55.008382",,https://trudvsem.ru/company/1035401944291,http://www.electrosignal.ru/,,Факс (383) 2663734,,
42629040-3705-11e8-9550-e37b4be0b9ed,4501205310,1154501008507,450101001,Сервис заказа такси «Максим»,"Новосибирская область, г. Новосибирск, Бориса Богаткова улица, 99, 82.95629, 55.021405",True,https://trudvsem.ru/company/42629040-3705-11e8-9550-e37b4be0b9ed,https://taximaxim.ru/l/trudvsem,,,,
1025401925559,5405208341,1025401925559,540501001,ООО Интер-Персонал,"Новосибирская область, г. Новосибирск, Восход улица, 20, 82.942106, 55.012548",True,https://trudvsem.ru/company/1025401925559,,Другой (383) 2231994,,,
1135476071884,5409238795,1135476071884,540901001,СИБЭНЕРГОТЕРМ,"Новосибирская область, 630025, г Новосибирск, ш Бердское, д. 61/2, 83.054306, 54.960871",,https://trudvsem.ru/company/1135476071884,http://www.sibenergoterm.ru,+7(383)3340804,,prometey@nzko.su,
1027700149124,7740000076,1027700149124,770901001,"ПАО ""МТС""","Новосибирская область, г. Новосибирск, Фрунзе улица, 242, 82.96248, 55.039925",,https://trudvsem.ru/company/1027700149124,,+7(495)9116555,+7(391)2311701,,
1055407127511,5407008838,1055407127511,540401001,"ЧДОУ Детский сад ""Акварель""","Новосибирская область, г. Новосибирск, Механическая 1-я улица, 5а, 630000, г Новосибирск, ул. Гоголя, 19/1, 83.053919, 54.963631",,https://trudvsem.ru/company/1055407127511,http://akvarell.ru,+7(383)3753595,+7(383)3270506,AKVAREL2005@mail.ru,
