id_mrigo,mrigo
2,Барабинский
10,Искитимский
30,Татарский
9,Здвинский
14,Колыванский
13,Каргатский
34,Чановский
7,Венгеровский
32,Убинский
8,Доволенский
22,Мошковский
17,Краснозерский
20,Кыштовский
33,Усть-Таркский
37,Чулымский
36,Чистоозерный
29,Сузунский
18,Куйбышевский
24,Новосибирский
12,Карасукский
15,Коченевский
19,Купинский
25,Обь
16,Кочковский
21,Маслянинский
6,Болотнинский
27,р.п. Кольцово
35,Черепановский
28,Северный
5,Бердск
26,Ордынский
11,Искитим
31,Тогучинский
4,Баганский
23,Новосибирск
